,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
12099,1,0,1,1,0,0,1,1,0,0,1,1,0
15302,1,0,1,1,0,0,1,1,0,0,0,1,3
15604,0,0,1,1,0,0,1,1,0,0,1,0,2
556,0,0,1,1,0,0,1,1,0,0,1,0,3
3300,1,1,0,1,0,0,1,1,0,1,1,0,3
15519,0,0,1,1,0,0,1,1,0,0,1,0,3
18520,0,0,1,1,0,0,0,1,0,0,1,0,2
14551,0,0,1,1,0,0,1,1,0,0,1,0,3
10162,1,0,1,1,0,0,1,1,0,0,1,1,2
15427,0,0,1,1,0,0,1,1,1,0,1,0,3
17962,1,0,0,1,1,0,1,1,0,0,1,0,2
1574,1,1,1,1,0,0,1,1,0,1,1,1,3
15996,1,0,1,1,0,0,1,1,0,0,1,1,0
8020,0,1,1,1,0,0,1,1,0,0,1,1,3
15591,1,0,1,1,0,0,1,1,0,0,1,1,3
13955,0,0,1,1,0,0,1,1,0,0,1,0,0
17138,0,0,1,0,0,0,1,1,0,0,1,0,2
321,0,0,1,1,0,0,1,1,1,0,1,0,3
15663,1,0,1,1,0,0,1,1,0,1,1,1,0
5546,1,0,1,1,0,0,1,1,0,1,1,1,3
9510,1,1,1,1,0,0,1,1,0,1,1,1,0
15585,1,0,1,1,0,0,1,1,0,1,1,1,3
14749,0,0,1,1,1,0,1,1,0,0,1,0,0
4911,1,0,0,1,0,0,1,1,0,0,1,0,3
498,1,1,0,1,0,0,1,1,1,1,1,1,0
5812,0,0,1,1,0,0,1,1,1,0,1,0,1
1091,1,0,1,1,0,0,1,1,0,1,1,1,0
11088,1,0,1,1,0,0,1,1,0,1,1,1,2
6936,0,0,1,1,0,0,1,1,0,0,1,0,3
18718,0,0,0,1,0,0,0,1,0,0,0,1,2
5617,0,0,1,1,0,0,1,1,0,0,1,0,0
13125,1,0,1,1,0,0,1,1,0,1,1,1,3
12686,1,0,1,1,0,0,1,1,0,1,1,1,0
7144,1,0,0,1,0,0,1,1,0,0,1,1,3
17111,1,0,0,1,0,0,1,1,0,0,1,0,0
8010,1,1,0,1,0,0,1,1,0,1,1,0,3
17328,0,0,1,1,0,1,1,1,0,0,1,0,0
13009,1,0,1,1,0,0,1,1,0,0,1,0,2
1633,1,0,0,1,0,0,1,1,0,0,1,0,0
2376,1,0,1,1,0,0,1,0,0,1,1,1,2
2680,0,0,1,1,1,0,1,1,0,0,1,0,3
5500,0,0,1,0,0,0,1,1,1,0,1,0,0
8025,1,0,1,1,0,0,1,0,0,0,1,1,3
7764,0,0,1,1,1,0,1,1,0,0,1,0,1
2379,1,0,1,1,0,0,1,0,0,0,1,0,2
6437,1,0,1,1,0,0,1,1,0,0,1,1,3
2260,0,0,1,1,0,0,1,1,0,0,1,0,3
14560,1,0,1,1,0,0,1,1,0,1,1,1,5
4743,1,0,1,1,0,0,1,0,0,1,1,1,3
15669,0,0,1,1,0,0,1,1,0,0,1,0,3
1159,0,0,1,1,0,0,1,0,0,0,1,1,2
11782,0,0,1,1,0,0,1,1,0,0,1,0,0
9740,0,0,1,1,0,0,1,1,0,0,1,0,0
596,1,0,1,1,0,0,1,1,0,0,1,1,3
15904,0,1,1,1,0,0,1,1,0,0,1,1,0
4184,1,0,1,1,0,0,1,0,0,0,1,1,3
1906,1,0,1,1,0,0,1,0,0,0,1,0,0
14224,0,0,1,1,0,0,1,1,0,0,1,0,3
669,1,0,1,1,0,0,1,1,0,0,1,1,0
17311,1,0,1,1,0,0,1,1,0,1,1,1,3
1413,1,0,1,1,0,0,1,0,0,0,0,0,0
17258,0,0,1,1,1,0,1,1,0,0,1,0,0
3432,1,0,1,1,0,0,1,0,0,0,1,0,3
11679,0,1,1,1,0,0,1,1,0,0,1,1,2
10151,1,1,1,1,0,0,1,1,0,1,1,1,2
7573,0,1,1,1,0,0,1,1,0,0,1,1,0
4085,1,1,1,1,0,0,1,1,0,1,1,1,0
6018,0,0,1,1,0,0,1,1,0,0,1,0,0
9262,1,0,1,1,0,0,1,1,0,0,1,1,3
4409,0,0,1,1,0,0,1,1,0,0,1,0,3
16949,0,0,1,1,0,0,1,1,1,0,1,0,1
14131,1,0,0,1,0,0,1,1,0,0,1,0,3
14680,1,0,0,1,0,0,1,1,1,0,1,0,3
1119,0,0,1,1,0,0,1,1,0,0,1,0,3
15178,1,0,1,1,0,0,1,1,0,1,0,0,3
9909,1,0,1,1,0,0,1,0,0,0,1,1,3
16484,1,1,1,1,0,0,1,1,0,0,1,0,3
18979,1,0,0,1,0,0,0,1,0,0,1,0,3
11327,0,0,1,1,0,0,1,1,0,0,1,0,3
6139,0,1,1,1,0,0,1,1,0,0,1,0,0
13627,1,0,0,1,0,0,1,1,0,0,1,0,0
990,1,0,1,1,0,0,1,1,0,0,1,1,3
496,0,1,1,1,1,0,1,1,1,0,1,0,0
1515,0,0,1,1,0,0,1,1,0,0,1,0,0
12356,1,0,1,1,0,0,1,1,0,0,1,1,3
10875,1,0,1,1,0,0,1,1,0,1,1,1,3
2815,1,1,1,1,0,0,1,1,1,0,1,1,3
4727,1,0,1,1,0,0,1,0,0,0,1,1,1
5268,1,0,1,1,0,0,1,0,0,1,1,1,2
10921,0,0,1,0,0,0,1,1,0,0,1,0,0
9079,1,0,1,1,0,0,1,1,0,1,1,1,2
18213,0,0,1,1,1,0,0,1,0,0,0,0,0
11404,1,0,1,1,0,0,1,1,0,0,1,1,3
2939,1,0,1,1,0,0,1,0,0,0,1,0,0
7013,1,0,0,1,0,0,1,1,0,0,1,0,3
9821,0,0,1,1,0,0,1,1,0,0,1,0,0
4783,0,1,1,1,0,0,1,1,1,0,1,1,3
2505,1,0,1,1,0,0,1,0,0,0,1,0,3
10107,1,0,1,1,0,0,1,1,0,1,1,1,0
17489,1,0,1,1,0,0,1,0,0,1,1,1,3
15748,0,0,1,1,0,0,1,1,0,0,1,0,2
10498,0,0,1,1,0,0,1,1,1,0,1,0,3
5916,0,0,1,1,0,0,1,1,0,0,1,0,3
14081,1,0,1,1,0,0,1,1,0,0,0,1,3
10975,0,0,1,1,0,0,1,1,0,0,1,0,3
5851,0,0,1,1,0,0,1,1,0,0,1,0,0
7140,0,0,1,1,0,0,1,1,0,0,1,0,3
12501,1,0,1,1,0,0,1,1,0,0,1,1,3
10318,1,0,1,1,0,0,1,1,0,0,1,1,2
11317,0,0,1,1,0,0,1,1,0,0,1,0,3
8336,1,0,1,1,0,0,1,1,0,1,1,1,2
8787,0,1,1,1,0,0,1,1,1,0,1,0,0
2722,1,0,0,0,0,0,1,1,0,0,1,0,4
16002,0,0,1,0,1,0,1,1,1,0,1,0,3
5379,0,0,1,1,0,0,1,1,0,0,1,0,0
11241,1,0,1,1,0,0,1,1,0,0,1,1,3
18881,0,0,1,1,0,0,0,1,0,0,1,0,2
16275,0,1,1,1,0,0,1,1,0,0,1,1,0
9059,1,0,1,1,0,0,1,1,0,0,1,1,3
15833,0,0,1,1,0,0,1,1,0,0,1,0,0
7447,1,1,1,1,0,0,1,1,0,0,0,1,3
8901,1,1,1,1,0,0,1,1,1,0,1,1,3
