,有無酒駕,有無駕照,有無肇事逃逸,有無減速,有無超速,有無精神疾病,有無證據,有無過失傷害,有無過失致死,是否累犯,是否自首,是否使用藥物,車輛類型
13028,1,0,1,1,0,0,1,1,0,0,1,1,0
15083,1,1,1,1,0,0,1,1,1,0,1,1,1
3562,0,0,1,1,0,0,1,1,1,0,1,0,3
1943,0,0,1,1,0,0,1,1,0,0,1,0,0
3533,0,0,1,1,0,0,1,0,0,0,1,0,2
17124,1,0,1,0,0,0,1,1,0,0,1,0,0
7406,0,0,1,1,0,0,1,1,0,0,1,0,2
9041,1,0,1,1,0,0,1,1,0,1,1,1,0
13579,0,0,1,1,0,0,1,1,0,0,1,0,3
509,0,0,1,1,0,0,1,1,0,0,1,0,0
4502,1,0,1,1,0,0,1,0,0,0,1,1,3
4764,1,0,1,1,0,0,1,1,1,0,1,1,0
2793,1,0,0,1,0,0,1,1,0,0,1,0,0
16157,1,0,1,1,0,0,1,1,0,1,1,1,0
3693,0,0,1,0,0,0,1,1,1,0,1,0,5
12197,1,0,1,1,0,0,1,1,0,0,1,1,3
1016,1,0,1,1,0,0,1,1,0,1,1,1,3
8645,1,0,1,1,0,0,1,0,0,0,1,0,3
7060,0,0,1,1,0,0,1,1,0,0,1,0,3
17955,0,0,1,1,0,0,1,1,1,0,1,1,5
943,1,0,1,1,0,0,1,0,0,0,1,1,3
13910,1,0,1,1,0,0,1,1,0,0,1,1,1
16426,0,0,1,1,0,0,1,1,0,0,1,0,3
9787,1,0,1,1,0,0,1,1,0,0,1,1,2
9610,1,0,1,1,0,0,1,1,0,0,1,0,2
3272,1,0,1,1,0,0,1,0,0,1,1,1,3
4666,1,0,1,1,0,0,1,0,0,0,1,1,3
10911,1,0,1,1,0,0,1,1,0,1,1,1,3
16943,1,0,0,1,0,0,1,1,0,1,1,1,2
18258,0,0,1,1,0,0,0,1,0,0,1,0,3
5184,1,0,1,1,0,0,1,1,0,1,1,1,0
8719,0,0,1,1,0,0,1,1,0,0,1,0,2
11600,0,0,1,1,0,0,1,1,0,0,1,0,0
15738,0,1,1,1,0,0,1,1,1,0,1,1,0
14296,1,0,1,1,0,0,1,1,0,0,1,1,2
2228,0,0,1,1,0,0,1,1,1,0,1,0,0
6593,1,0,1,1,0,0,1,1,0,0,1,1,2
143,1,0,1,1,0,0,1,1,0,1,1,0,2
12146,1,1,1,1,0,0,1,0,0,0,1,1,3
13888,0,0,1,1,0,0,1,1,0,0,1,0,0
8935,0,0,1,0,0,0,1,1,1,0,1,0,3
